N001,N013,1
N002,N003,1
N002,N015,1
N002,N018,1
N002,N027,1
N003,N002,1
N003,N015,1
N003,N018,1
N003,N027,1
N004,N006,1
N004,N007,1
N005,N060,1
N005,N062,1
N005,N063,1
N005,N064,1
N005,N115,1
N006,N004,1
N006,N007,1
N007,N004,1
N007,N006,1
N011,N048,1
N011,N114,1
N013,N001,1
N015,N002,1
N015,N003,1
N015,N018,1
N015,N027,1
N018,N002,1
N018,N003,1
N018,N015,1
N018,N027,1
N027,N002,1
N027,N003,1
N027,N015,1
N027,N018,1
N031,N035,1
N031,N040,1
N031,N041,1
N035,N031,1
N035,N040,1
N035,N041,1
N040,N031,1
N040,N035,1
N040,N041,1
N041,N031,1
N041,N035,1
N041,N040,1
N048,N011,1
N048,N114,1
N060,N005,1
N060,N062,1
N060,N063,1
N060,N064,1
N060,N115,1
N062,N005,1
N062,N060,1
N062,N063,1
N062,N064,1
N062,N115,1
N063,N005,1
N063,N060,1
N063,N062,1
N063,N064,1
N063,N115,1
N064,N005,1
N064,N060,1
N064,N062,1
N064,N063,1
N064,N115,1
N114,N011,1
N114,N048,1
N115,N005,1
N115,N060,1
N115,N062,1
N115,N063,1
N115,N064,1
